dest_nt_domain,metadata_comment
crowdstrikefix.lol,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikefix.zip,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeforhome.net,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeforhome.org,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeglitch.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikehealthcare.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikehelp.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikehelp.info,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikehome.net,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikehome.org,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeinc.sk,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikekernelcar.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikelab.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikelawsuit.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikemdr.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikemedaddy.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeold.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeoops.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeoopsie.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeoopsies.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeoptimizer.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeotsettlement.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeou.tage.info,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeout.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeoutage.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeoutage.info,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikepatch.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeplatform.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikeplatform.info,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstriker.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikerecovery.cn,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikerecovery.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikerecovery.info,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikerecovery.live,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikerecovery.lol,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikerecovery.pro,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikerecovery1.blob.core.windows.net,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikereport.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikesettlement.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikesuporte.com,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
crowdstrikesupport.info,https://urlscan.io/search/#crowdstrike*%20date%3A%3Enow-7d%20
